"unique_ids","zip_codes","dates"
"92231DT","37804","04/01/2021"
"92232DT","37849","04/01/2021"
"92233DT","37921","04/05/2021"
"92234DT","37921","04/05/2021"
"92235DT","37920","04/05/2021"
"92236DT","37921","04/05/2021"
"92237DT","37917","04/05/2021"
"92238DT","37912","04/05/2021"
"92239DT","37923","04/05/2021"
"92240DT","37912","04/05/2021"
"92241DT","37921","04/06/2021"
"92242DT","37918","04/06/2021"
"92243DT","37854","04/06/2021"
"92244DT","37918","04/06/2021"
"92245DT","37909","04/06/2021"
"92246DT","37912","04/07/2021"
"92247DT","37915","04/07/2021"
"92248DT","37919","04/01/2021"
"92249DT","37920","04/01/2021"
"92250DT","37914","04/01/2021"
"92251DT","37849","04/07/2021"
"92252DT","37919","04/07/2021"
"92253DT","37919","04/07/2021"
"92254DT","37921","04/08/2021"
"92255DT","37902","04/08/2021"
"92256DT","37924","04/08/2021"
"92257DT","37931","04/08/2021"
"92258DT","37917","04/06/2021"
"92259DT","37912","04/06/2021"
"92260DT","37931","04/08/2021"
"92261DT","37923","04/08/2021"
"92262DT","37919","04/08/2021"
"92263DT","37920","04/09/2021"
"92264DT","37909","04/09/2021"
"92265DT","37923","04/09/2021"
"92266DT","37914","04/09/2021"
"92267DT","37914","04/09/2021"
"92268DT","37918","04/09/2021"
"92270DT","37932","04/12/2021"
"92271DT","37909","04/12/2021"
"92272DT","37909","04/12/2021"
"92273DT","37923","04/09/2021"
"92274DT","37912","04/09/2021"
"92275DT","37916","04/12/2021"
"92276DT","37921","04/09/2021"
"92277DT","37921","04/09/2021"
"92278DT","37921","04/09/2021"
"92279DT","37921","04/09/2021"
"92280DT","37915","04/09/2021"
"92281DT","37917","04/09/2021"
"92282DT","37921","04/09/2021"
"92283DT","37918","04/13/2021"
"92284DT","37914","04/13/2021"
"92285DT","37931","04/13/2021"
"92286DT","37914","04/14/2021"
"92287DT","37932","04/14/2021"
"92288DT","37914","04/14/2021"
"92289DT","37909","04/14/2021"
"92290DT","37912","04/14/2021"
"92291DT","37912","04/14/2021"
"92292DT","37920","04/14/2021"
"92293DT","37918","04/15/2021"
"92294DT","37918","04/15/2021"
"92295DT","37918","04/15/2021"
"92296DT","37919","04/15/2021"
"92297DT","37918","04/15/2021"
"92298DT","37918","04/15/2021"
"92299DT","37921","04/15/2021"
"92300DT","37921","04/15/2021"
"92301DT","37921","04/15/2021"
"92302DT","37932","04/15/2021"
"92303DT","37923","04/15/2021"
"92304DT","37923","04/15/2021"
"92305DT","37914","04/15/2021"
"92306DT","37912","04/15/2021"
"92307DT","37923","04/15/2021"
"92308DT","37921","04/15/2021"
"92309DT","37918","04/16/2021"
"92310DT",NA,"04/16/2021"
"92311DT","37921","04/16/2021"
"92312DT","37919","04/15/2021"
"92313DT","37916","04/15/2021"
"92314DT","37917","04/16/2021"
"92315DT","37917","04/16/2021"
"92316DT","37917","04/19/2021"
"92317DT","37918","04/19/2021"
"92318DT","37915","04/19/2021"
"92319DT","37915","04/19/2021"
"92320DT","37716","04/19/2021"
"92321DT","37921","04/19/2021"
"92322DT","37920","04/20/2021"
"92323DT","37931","04/20/2021"
"92324DT","37923","04/20/2021"
"92325DT","37931","04/20/2021"
"92326DT","37774","04/20/2021"
"92327DT","37917","04/20/2021"
"92328DT","37938","04/20/2021"
"92329DT","37914","04/21/2021"
"92330DT","37921","04/21/2021"
"92331DT","37754","04/21/2021"
"92332DT","37754","04/21/2021"
"92333DT","37923","04/21/2021"
"92334DT","37923","04/21/2021"
"92335DT","37931","04/21/2021"
"92336DT","37934","04/22/2021"
"92337DT","37922","04/22/2021"
"92338DT","37932","04/22/2021"
"92339DT","37914","04/22/2021"
"92340DT","37920","04/22/2021"
"92341DT","37923","04/22/2021"
"92342DT","37912","04/22/2021"
"92343DT","37919","04/22/2021"
"92344DT","37912","04/01/2021"
"92345DT","37772","04/23/2021"
"92346DT","37918","04/23/2021"
"92347DT","37709","04/23/2021"
"92348DT","37709","04/23/2021"
"92349DT","37918","04/26/2021"
"92350DT","37849","04/22/2021"
"92351DT","37912","04/22/2021"
"92352DT","37917","04/22/2021"
"92353DT","37909","04/01/2021"
"92354DT","37914","04/26/2021"
"92355DT","37915","04/27/2021"
"92356DT","37917","04/27/2021"
"92357DT","37920","04/27/2021"
"92358DT","37917","04/27/2021"
"92359DT","37912","04/27/2021"
"92360DT","37919","04/28/2021"
"92361DT","37922","04/28/2021"
"92362DT","37849","04/01/2021"
"92363DT","37923","04/28/2021"
"92364DT","37777",NA
"92365DT","37909","04/28/2021"
"92366DT","37912","04/28/2021"
"92367DT","37922","04/28/2021"
"92368DT","37919",NA
"92369DT","37915","04/28/2021"
"92370DT","37915","04/28/2021"
"92371DT","37915","04/28/2021"
"92372DT","37929","04/28/2021"
"92373DT","37920","04/28/2021"
"92374DT","37915","04/29/2021"
"92375DT","37915","04/29/2021"
"92376DT","37918","02/01/2021"
"91899DT","37912","02/02/2021"
"91900DT",NA,NA
